Date,Cured,Deaths,Confirmed
10-03-2020,0,0,7
10-03-2020,0,0,2
10-03-2020,0,0,4
10-03-2020,0,0,2
10-03-2020,0,0,4
10-03-2020,3,0,15
10-03-2020,0,0,5
10-03-2020,0,0,1
10-03-2020,0,0,15
10-03-2020,0,0,1
10-03-2020,0,0,1
10-03-2020,0,0,1
11-03-2020,0,0,2
11-03-2020,0,0,5
11-03-2020,0,0,14
11-03-2020,3,0,17
11-03-2020,0,0,3
11-03-2020,0,0,1
11-03-2020,0,0,9
11-03-2020,0,0,2
11-03-2020,0,0,1
11-03-2020,0,0,1
11-03-2020,0,0,1
11-03-2020,0,0,4
12-03-2020,0,0,6
12-03-2020,0,0,14
12-03-2020,3,0,17
12-03-2020,0,0,3
12-03-2020,0,0,1
12-03-2020,0,0,11
12-03-2020,0,0,3
12-03-2020,0,0,1
12-03-2020,0,0,1
12-03-2020,0,0,1
12-03-2020,0,0,4
12-03-2020,0,0,11
12-03-2020,0,0,1
13-03-2020,0,0,6
13-03-2020,0,0,14
13-03-2020,3,0,19
13-03-2020,0,0,3
13-03-2020,0,0,1
13-03-2020,0,0,11
13-03-2020,0,0,3
13-03-2020,0,0,1
13-03-2020,0,0,1
13-03-2020,0,0,1
13-03-2020,0,1,6
13-03-2020,0,0,14
13-03-2020,0,0,1
14-03-2020,1,1,7
14-03-2020,0,0,14
14-03-2020,3,0,19
14-03-2020,1,0,3
14-03-2020,0,0,1
14-03-2020,5,0,12
14-03-2020,0,0,3
14-03-2020,0,0,1
14-03-2020,0,0,2
14-03-2020,0,0,1
14-03-2020,0,1,6
14-03-2020,0,0,14
14-03-2020,0,0,1
15-03-2020,0,0,1
15-03-2020,2,1,7
15-03-2020,0,0,14
15-03-2020,0,1,6
15-03-2020,3,0,22
15-03-2020,0,0,32
15-03-2020,0,0,1
15-03-2020,3,0,4
15-03-2020,0,0,1
15-03-2020,1,0,3
15-03-2020,0,0,2
15-03-2020,0,0,3
15-03-2020,4,0,13
15-03-2020,0,0,1
16-03-2020,0,0,1
16-03-2020,2,1,7
16-03-2020,0,0,14
16-03-2020,0,1,6
16-03-2020,3,0,23
16-03-2020,0,0,32
16-03-2020,0,0,1
16-03-2020,0,0,1
16-03-2020,3,0,4
16-03-2020,0,0,1
16-03-2020,1,0,3
16-03-2020,0,0,3
16-03-2020,0,0,4
16-03-2020,4,0,13
16-03-2020,0,0,1
17-03-2020,0,0,1
17-03-2020,2,1,8
17-03-2020,0,0,15
17-03-2020,0,1,11
17-03-2020,3,0,26
17-03-2020,0,1,39
17-03-2020,0,0,1
17-03-2020,0,0,1
17-03-2020,3,0,4
17-03-2020,0,0,1
17-03-2020,1,0,5
17-03-2020,0,0,3
17-03-2020,0,0,6
17-03-2020,5,0,15
17-03-2020,0,0,1
18-03-2020,0,0,1
18-03-2020,2,1,10
18-03-2020,0,0,17
18-03-2020,0,1,11
18-03-2020,3,0,27
18-03-2020,0,1,42
18-03-2020,0,0,1
18-03-2020,0,0,1
18-03-2020,0,0,1
18-03-2020,3,0,4
18-03-2020,0,0,1
18-03-2020,1,0,6
18-03-2020,0,0,3
18-03-2020,0,0,8
18-03-2020,5,0,16
18-03-2020,0,0,1
18-03-2020,0,0,1
19-03-2020,0,0,2
19-03-2020,0,0,1
19-03-2020,3,1,12
19-03-2020,0,0,17
19-03-2020,0,1,14
19-03-2020,3,0,27
19-03-2020,0,1,47
19-03-2020,0,0,1
19-03-2020,0,0,1
19-03-2020,0,1,2
19-03-2020,3,0,7
19-03-2020,1,0,2
19-03-2020,1,0,6
19-03-2020,0,0,1
19-03-2020,0,0,4
19-03-2020,0,0,8
19-03-2020,9,0,19
19-03-2020,0,0,1
19-03-2020,0,0,1
20-03-2020,0,0,3
20-03-2020,0,0,1
20-03-2020,5,1,17
20-03-2020,0,0,5
20-03-2020,0,0,17
20-03-2020,1,1,15
20-03-2020,3,0,28
20-03-2020,0,1,52
20-03-2020,0,0,2
20-03-2020,0,0,1
20-03-2020,0,1,2
20-03-2020,3,0,17
20-03-2020,1,0,3
20-03-2020,1,0,17
20-03-2020,0,0,1
20-03-2020,0,0,4
20-03-2020,0,0,10
20-03-2020,9,0,23
20-03-2020,0,0,3
20-03-2020,0,0,2
21-03-2020,0,0,3
21-03-2020,0,0,1
21-03-2020,5,1,26
21-03-2020,0,0,7
21-03-2020,0,0,17
21-03-2020,0,0,2
21-03-2020,1,1,15
21-03-2020,3,0,40
21-03-2020,0,0,4
21-03-2020,0,1,63
21-03-2020,0,0,2
21-03-2020,0,0,1
21-03-2020,0,1,13
21-03-2020,3,0,17
21-03-2020,1,0,3
21-03-2020,1,0,21
21-03-2020,0,0,1
21-03-2020,0,0,4
21-03-2020,0,0,13
21-03-2020,9,0,24
21-03-2020,0,0,3
21-03-2020,0,0,3
22-03-2020,0,0,5
22-03-2020,0,1,2
22-03-2020,0,0,1
22-03-2020,5,1,29
22-03-2020,0,1,18
22-03-2020,0,0,21
22-03-2020,0,0,2
22-03-2020,2,1,26
22-03-2020,3,0,52
22-03-2020,0,0,4
22-03-2020,0,2,67
22-03-2020,0,0,2
22-03-2020,0,0,1
22-03-2020,0,1,21
22-03-2020,3,0,24
22-03-2020,1,0,7
22-03-2020,1,0,22
22-03-2020,0,0,5
22-03-2020,0,0,4
22-03-2020,0,0,13
22-03-2020,9,0,27
22-03-2020,0,0,3
22-03-2020,0,0,4
23-03-2020,0,0,7
23-03-2020,0,1,2
23-03-2020,0,0,1
23-03-2020,5,1,29
23-03-2020,0,1,29
23-03-2020,0,0,26
23-03-2020,0,0,2
23-03-2020,2,1,33
23-03-2020,3,0,67
23-03-2020,0,0,6
23-03-2020,0,2,74
23-03-2020,0,0,2
23-03-2020,0,0,1
23-03-2020,0,1,21
23-03-2020,3,0,28
23-03-2020,1,0,9
23-03-2020,1,0,32
23-03-2020,0,0,6
23-03-2020,0,0,4
23-03-2020,0,0,13
23-03-2020,9,0,31
23-03-2020,0,0,3
23-03-2020,0,0,7
24-03-2020,0,0,8
24-03-2020,0,1,3
24-03-2020,0,0,1
24-03-2020,6,1,30
24-03-2020,0,1,33
24-03-2020,11,0,28
24-03-2020,0,1,3
24-03-2020,3,1,37
24-03-2020,4,0,95
24-03-2020,0,0,7
24-03-2020,0,2,89
24-03-2020,0,0,1
24-03-2020,0,0,2
24-03-2020,0,0,1
24-03-2020,0,1,29
24-03-2020,3,0,32
24-03-2020,1,0,15
24-03-2020,1,0,35
24-03-2020,0,0,7
24-03-2020,0,0,4
24-03-2020,0,0,13
24-03-2020,11,0,33
24-03-2020,0,0,4
24-03-2020,0,1,9
25-03-2020,1,0,9
25-03-2020,0,1,4
25-03-2020,0,0,1
25-03-2020,6,1,31
25-03-2020,0,1,38
25-03-2020,11,0,28
25-03-2020,0,1,3
25-03-2020,3,1,41
25-03-2020,4,0,109
25-03-2020,0,0,14
25-03-2020,1,3,128
25-03-2020,0,0,1
25-03-2020,0,0,1
25-03-2020,0,0,2
25-03-2020,0,0,1
25-03-2020,0,1,29
25-03-2020,3,0,36
25-03-2020,1,0,18
25-03-2020,1,0,35
25-03-2020,0,0,7
25-03-2020,1,0,7
25-03-2020,0,0,13
25-03-2020,11,0,37
25-03-2020,0,0,4
25-03-2020,0,1,9
26-03-2020,0,0,1
26-03-2020,1,0,11
26-03-2020,0,1,6
26-03-2020,0,0,7
26-03-2020,0,0,6
26-03-2020,6,1,36
26-03-2020,0,0,3
26-03-2020,0,3,43
26-03-2020,11,0,30
26-03-2020,0,1,3
26-03-2020,1,0,13
26-03-2020,3,2,55
26-03-2020,6,0,118
26-03-2020,0,0,13
26-03-2020,0,1,20
26-03-2020,1,3,124
26-03-2020,0,0,1
26-03-2020,0,0,1
26-03-2020,0,0,2
26-03-2020,0,0,1
26-03-2020,0,1,33
26-03-2020,3,0,41
26-03-2020,1,1,26
26-03-2020,1,0,44
26-03-2020,0,0,5
26-03-2020,11,0,41
26-03-2020,0,1,10
27-03-2020,0,0,1
27-03-2020,1,0,12
27-03-2020,0,1,6
27-03-2020,0,0,7
27-03-2020,0,0,6
27-03-2020,6,1,36
27-03-2020,0,0,3
27-03-2020,0,3,43
27-03-2020,11,0,30
27-03-2020,0,1,3
27-03-2020,1,1,13
27-03-2020,3,2,55
27-03-2020,11,0,137
27-03-2020,3,0,13
27-03-2020,0,1,20
27-03-2020,15,4,130
27-03-2020,0,0,1
27-03-2020,0,0,1
27-03-2020,0,0,2
27-03-2020,0,0,1
27-03-2020,0,1,33
27-03-2020,3,0,41
27-03-2020,1,1,29
27-03-2020,1,0,45
27-03-2020,0,0,5
27-03-2020,11,0,41
27-03-2020,0,1,10
28-03-2020,1,0,14
28-03-2020,0,0,6
28-03-2020,0,1,9
28-03-2020,0,0,8
28-03-2020,0,0,6
28-03-2020,6,1,39
28-03-2020,0,0,3
28-03-2020,0,3,45
28-03-2020,12,0,33
28-03-2020,0,1,3
28-03-2020,1,1,20
28-03-2020,3,2,55
28-03-2020,11,0,176
28-03-2020,3,0,13
28-03-2020,0,2,30
28-03-2020,25,5,180
28-03-2020,0,0,1
28-03-2020,0,0,1
28-03-2020,0,0,3
28-03-2020,0,0,1
28-03-2020,1,1,38
28-03-2020,3,0,54
28-03-2020,2,1,40
28-03-2020,1,0,56
28-03-2020,0,0,5
28-03-2020,11,0,55
28-03-2020,0,1,15
29-03-2020,1,0,19
29-03-2020,0,0,9
29-03-2020,0,1,11
29-03-2020,0,0,8
29-03-2020,0,0,7
29-03-2020,6,2,49
29-03-2020,0,0,5
29-03-2020,1,5,58
29-03-2020,17,0,33
29-03-2020,0,1,3
29-03-2020,1,2,31
29-03-2020,5,3,76
29-03-2020,15,1,182
29-03-2020,3,0,13
29-03-2020,0,2,30
29-03-2020,25,6,186
29-03-2020,0,0,1
29-03-2020,0,0,1
29-03-2020,0,0,3
29-03-2020,0,0,1
29-03-2020,1,1,38
29-03-2020,3,0,55
29-03-2020,4,1,49
29-03-2020,1,1,66
29-03-2020,2,0,7
29-03-2020,11,0,65
29-03-2020,0,1,18
30-03-2020,1,0,23
30-03-2020,0,0,9
30-03-2020,0,1,15
30-03-2020,0,0,8
30-03-2020,0,0,7
30-03-2020,6,2,87
30-03-2020,0,0,5
30-03-2020,1,6,69
30-03-2020,18,0,36
30-03-2020,0,1,3
30-03-2020,2,2,48
30-03-2020,5,3,83
30-03-2020,19,1,202
30-03-2020,3,0,13
30-03-2020,0,3,47
30-03-2020,25,8,198
30-03-2020,0,0,1
30-03-2020,0,0,1
30-03-2020,0,0,3
30-03-2020,0,0,1
30-03-2020,1,1,38
30-03-2020,3,0,59
30-03-2020,4,1,67
30-03-2020,1,1,71
30-03-2020,2,0,7
30-03-2020,11,0,82
30-03-2020,0,1,22
30-03-2020,0,0,46
31-03-2020,1,0,40
31-03-2020,0,0,10
31-03-2020,0,1,15
31-03-2020,0,0,13
31-03-2020,0,0,8
31-03-2020,6,2,97
31-03-2020,0,0,5
31-03-2020,3,6,73
31-03-2020,21,0,40
31-03-2020,0,1,3
31-03-2020,2,2,54
31-03-2020,5,3,83
31-03-2020,19,1,234
31-03-2020,3,0,13
31-03-2020,0,3,47
31-03-2020,39,9,216
31-03-2020,0,0,1
31-03-2020,0,0,1
31-03-2020,0,0,3
31-03-2020,0,0,1
31-03-2020,1,3,41
31-03-2020,3,0,74
31-03-2020,4,1,74
31-03-2020,1,1,79
31-03-2020,2,0,7
31-03-2020,14,0,101
31-03-2020,0,2,26
31-03-2020,0,0,38
01-04-2020,1,0,83
01-04-2020,0,0,10
01-04-2020,0,0,1
01-04-2020,0,1,23
01-04-2020,0,0,16
01-04-2020,2,0,9
01-04-2020,6,2,152
01-04-2020,0,0,5
01-04-2020,5,6,82
01-04-2020,21,0,43
01-04-2020,0,1,3
01-04-2020,2,2,62
01-04-2020,0,0,1
01-04-2020,8,3,101
01-04-2020,23,2,241
01-04-2020,3,0,13
01-04-2020,0,3,66
01-04-2020,39,9,302
01-04-2020,0,0,1
01-04-2020,0,0,1
01-04-2020,0,0,4
01-04-2020,1,0,3
01-04-2020,1,3,42
01-04-2020,3,0,93
01-04-2020,6,1,234
01-04-2020,1,3,96
01-04-2020,2,0,7
01-04-2020,14,2,103
01-04-2020,6,3,37
02-04-2020,1,1,86
02-04-2020,0,0,10
02-04-2020,0,0,5
02-04-2020,0,1,24
02-04-2020,0,0,16
02-04-2020,2,0,9
02-04-2020,8,4,219
02-04-2020,0,0,5
02-04-2020,8,7,87
02-04-2020,21,0,43
02-04-2020,1,1,3
02-04-2020,2,2,62
02-04-2020,0,0,1
02-04-2020,9,3,110
02-04-2020,25,2,265
02-04-2020,3,0,13
02-04-2020,0,6,99
02-04-2020,42,13,335
02-04-2020,0,0,1
02-04-2020,0,0,1
02-04-2020,0,0,4
02-04-2020,1,0,3
02-04-2020,1,4,46
02-04-2020,3,0,108
02-04-2020,6,1,234
02-04-2020,1,3,107
02-04-2020,2,0,7
02-04-2020,14,2,113
02-04-2020,6,3,53
03-04-2020,1,1,132
03-04-2020,0,0,10
03-04-2020,0,0,1
03-04-2020,0,0,16
03-04-2020,0,1,29
03-04-2020,0,0,18
03-04-2020,3,0,9
03-04-2020,8,4,219
03-04-2020,0,0,6
03-04-2020,10,8,95
03-04-2020,24,0,49
03-04-2020,1,1,6
03-04-2020,3,2,75
